101-ap1	c6:04:15:a1:14:83	10.128.3.10	1	36	0
101-ap2	0a:bd:43:b9:ed:3c	10.128.3.11	6	40	0
101-ap3	c6:04:15:8f:50:82	10.128.3.12	11	44	0
101-ap4	06:a1:51:ba:45:d9	10.128.3.13	1	48	0
101-ap5	c6:04:15:a9:90:d8	10.128.3.14	6	149	0
103-ap1	06:a1:51:ba:72:a9	10.128.3.15	11	153	0
103-ap2	c6:04:15:9b:58:99	10.128.3.16	1	157	0
103-ap3	0a:bd:43:ba:a6:5b	10.128.3.17	6	161	0
104-ap1	c6:04:15:9a:fd:13	10.128.3.18	11	165	0
104-ap2	c6:04:15:9d:72:1c	10.128.3.19	1	36	0
104-ap3	c6:04:15:90:57:c5	10.128.3.20	6	40	0
105-ap1	0a:bd:43:ac:5f:6c	10.128.3.21	11	44	0
105-ap2	22:4e:7f:85:a8:40	10.128.3.22	1	48	0
105-ap3	46:94:fc:7f:49:0c	10.128.3.23	6	149	0
106-ap1	c6:04:15:8f:30:72	10.128.3.42	6	157	0
106-ap2	2a:c6:8e:c1:a9:ed	10.128.3.24	11	153	0
106-ap3	2e:b0:5d:87:3a:4c	10.128.3.25	1	157	0
107-ap1	06:a1:51:a0:60:a4	10.128.3.26	6	161	0
107-ap2	76:44:01:96:47:e4	10.128.3.27	11	165	0
107-ap3	22:4e:7f:8e:57:69	10.128.3.28	1	36	0
204-ap1	c6:04:15:9b:4c:03	10.128.3.29	6	40	0
204-ap2	c6:04:15:9b:5e:b4	10.128.3.30	11	44	0
205-ap1	0a:bd:43:ac:7b:b9	10.128.3.31	1	48	0
207-ap1	0a:bd:43:ab:9b:f4	10.128.3.32	6	149	0
208-ap1	c6:04:15:ad:a3:93	10.128.3.33	11	153	0
211-ap1	06:a1:51:a3:31:f4	10.128.3.34	1	157	0
211-ap2	0a:bd:43:c3:7e:bb	10.128.3.35	6	161	0
211-ap3	0a:bd:43:c8:7b:11	10.128.3.36	11	165	0
212-ap1	0a:bd:43:be:49:b3	10.128.3.37	1	36	0
212-ap2	0a:bd:43:ba:ac:b2	10.128.3.38	6	40	0
212-ap3	0a:bd:43:b1:52:5e	10.128.3.39	11	48	0
bad-2	e2:46:9a:5a:c0:f6	10.128.3.71	11	48	0
balla-ap1	12:0d:7f:45:73:bc	10.0.3.10	1	149	0	1	1318	838
balla-ap2	76:44:01:96:55:2b	10.0.3.11	6	153	0	1	1398	698
balla-ap3	76:44:01:7a:b7:95	10.0.3.12	11	157	0	1	1518	778
ballb-ap1	76:44:01:93:75:d2	10.0.3.13	1	161	0	1	1298	658
ballb-ap2	06:a1:51:8b:0f:f9	10.0.3.14	6	165	0	1	1418	498
ballb-ap3	06:a1:51:9d:7b:14	10.0.3.15	11	36	0	1	1518	618
ballc-ap1	46:94:fc:8d:12:76	10.0.3.16	1	40	0	1	1518	318
ballc-ap2	22:4e:7f:80:38:e8	10.0.3.17	6	44	0
ballc-ap3	46:94:fc:95:ea:45	10.0.3.18	11	48	0	1	1498	438
ballde-ap1	06:a1:51:b1:71:e5	10.0.3.19	1	149	0	1	1118	638
ballde-ap2	06:a1:51:9b:a0:7e	10.0.3.20	6	153	0
ballde-ap3	46:94:fc:91:e9:36	10.0.3.21	11	157	0	1	1238	558
ballde-ap4	76:44:01:71:dc:7f	10.0.3.22	1	161	0	1	1038	518
ballde-ap5	06:a1:51:a0:16:85	10.0.3.23	6	165	0	1	1138	438
ballde-ap6	2e:b0:5d:a0:db:52	10.0.3.24	11	36	0
ballde-ap8	2e:b0:5d:7f:6a:f8	10.0.3.25	1	40	0	1	958	438
ballf-ap1	22:4e:7f:91:a2:44	10.0.3.26	6	44	0
ballf-ap2	46:94:fc:7f:5f:23	10.0.3.27	11	48	0
ballf-ap3	2e:b0:5d:7f:63:72	10.0.3.28	1	149	0
ballg-ap1	2e:b0:5d:7f:51:9f	10.0.3.29	6	153	0	1	578	518
ballg-ap2	2e:b0:5d:a0:f2:ef	10.0.3.30	11	157	0	1	658	658
ballg-ap3	46:94:fc:8d:37:03	10.0.3.31	1	161	0	1	838	638
ballh-ap1	46:94:fc:73:7a:f2	10.0.3.32	6	165	0	1	598	838
ballh-ap2	06:a1:51:ac:68:7d	10.0.3.33	11	36	0	1	798	838
ballh-ap3	e2:46:9a:5a:c0:09	10.0.3.34	1	48	0	1	0	0
balli-ap1	76:44:01:81:7f:c3	10.0.3.35	6	44	0
ballj-ap1	46:94:fc:73:34:78	10.0.3.36	11	48	0
balllob-ap10	e2:46:9a:5a:bf:fd	10.0.3.71	1	157	0	1	0	0
balllob-ap2	76:44:01:7a:9c:3e	10.0.3.41	6	165	0	1	498	358
balllob-ap3	46:94:fc:8d:1c:78	10.0.3.42	11	36	0	1	558	218
balllob-ap7	c6:04:15:a3:5d:11	10.0.3.39	11	157	0	1	1698	578
balllob-ap9	46:94:fc:72:d2:c8	10.0.3.72	1	36	0	1	0	0
expoa1-ap1	e2:46:9a:5a:e0:43	10.0.3.63	11	40	0	2	1058	498
expoa3-ap1	a2:21:b7:a2:d3:67	10.0.3.61	1	161	0	2	1058	718
expoa5-ap1	e2:46:9a:5a:df:b6	10.0.3.68	6	157	0	2	1018	938
expoaw-ap1	e2:46:9a:5a:c0:51	10.0.3.55	1	161	0	2	858	1018
expob2-ap1	e2:46:9a:5a:c0:78	10.0.3.66	11	149	0	2	858	638
expob4-ap1	e2:46:9a:5a:e0:25	10.0.3.64	1	44	0	2	858	858
expoc1-ap1	e2:46:9a:5a:c0:1b	10.0.3.62	6	36	0	2	658	498
expoc3-ap1	e2:46:9a:5a:ec:85	10.0.3.67	1	153	0	2	658	738
expoc5-ap1	e2:46:9a:5a:c0:35	10.0.3.59	6	48	0	2	638	938
flobby-ap1	22:4e:7f:85:db:c7	10.0.3.37	1	149	0
flobby-ap2	2e:b0:5d:82:e7:ff	10.0.3.38	6	153	0
flobby-ap4	46:94:fc:8c:f0:f8	10.0.3.40	1	161	0
game-ap2	46:94:fc:73:25:09	10.0.3.43	1	40	0	2	638	258
game-ap3	76:44:01:96:52:b2	10.0.3.44	6	44	0	2	1058	258
llobby-ap1	c6:04:15:a1:19:81	10.128.3.80	11	48	0
llobby-ap2	c6:04:15:90:1b:d1	10.128.3.81	1	149	0
llobby-ap3	0a:bd:43:c8:74:69	10.128.3.82	6	153	0
llobby-ap4	0a:bd:43:ac:78:d7	10.128.3.83	11	157	0
llobby-ap5	0a:bd:43:b0:ea:7b	10.128.3.84	1	161	0
missing-1	46:94:fc:73:02:80	10.128.3.63	1	40	0
reg-ap1	06:a1:51:a3:31:8e	10.0.3.45	6	165	0	2	1338	198
reg-ap2	2e:b0:5d:7f:60:a8	10.0.3.46	11	36	0	2	1438	418
reg-ap3	76:44:01:81:72:8b	10.0.3.47	1	40	0
reg-ap4	76:44:01:84:81:50	10.0.3.48	6	44	0
reg-ap5	06:a1:51:a3:09:0e	10.0.3.49	11	48	0
reg-ap6	22:4e:7f:91:b0:f9	10.0.3.50	1	149	0	2	1318	558
sb-ap1	06:a1:51:9d:60:f8	10.128.3.85	6	153	0
sb-ap2	46:94:fc:72:f5:93	10.0.3.52	11	157	0
show-ap5	e2:46:9a:5a:df:e0	10.0.3.65	6	48	0
show-ap9	e2:46:9a:5a:e0:6d	10.0.3.69	11	161	0
spare-ap10	e2:46:9a:5a:e0:0d	10.128.3.60	6	40	0
spare-ap12	e2:46:9a:5a:be:41	10.0.3.70	11	44	0
spare-ap14	e2:46:9a:5a:e3:88	10.128.3.64	6	149	0
spare-ap15	e2:46:9a:5a:e6:25	10.128.3.65	11	153	0
spare-ap17	e2:46:9a:5a:e9:22	10.128.3.67	6	161	0
spare-ap18	e2:46:9a:5a:f0:24	10.128.3.68	11	36	0
spare-ap19	e2:46:9a:5a:bf:94	10.128.3.69	1	40	0
spare-ap20	e2:46:9a:5a:c0:c6	10.128.3.70	6	44	0
spare-ap22	0a:bd:43:b2:8b:56	10.128.3.72	1	149	0
spare-ap3	76:44:01:93:54:51	10.128.3.53	6	153	0
spare-ap6	e2:46:9a:5a:e0:c4	10.128.3.56	6	36	0
spare-ap7	e2:46:9a:5a:c0:54	10.128.3.57	11	40	0
spare-ap8	e2:46:9a:51:74:30	10.0.3.58	1	44	0
ulobby-ap1	c6:04:15:a3:90:8c	10.128.3.40	11	149	0
ulobby-ap2	c6:04:15:9a:64:82	10.128.3.41	1	153	0
ulobby-ap3	e2:46:9a:5a:df:b0	10.128.3.54	11	157	0
ulobby-ap4	0a:bd:43:ac:b0:12	10.128.3.43	11	161	0
